author,edition_year,name,price,publisher,ratings
刘瑜,Jan-10,送你一颗子弹,25.00元,上海三联书店,8.6
当年明月,Sep-06,明朝那些事儿（壹）,24.8,中国友谊出版公司,8.7
[法] 阿尔贝·加缪,Sep-10,局外人,22.00元,上海译文出版社,9
[英] 笛福,Jan-02,鲁滨逊漂流记,9.20元,广西民族出版社,8
[英] 阿加莎·克里斯蒂,May-06,东方快车谋杀案,18.00元,人民文学出版社,9
[日] 村上春树,Jan-09,当我谈跑步时我谈些什么,25,南海出版公司,8.1
[美] 斯蒂芬·金,Jul-06,肖申克的救赎,29.90元,人民文学出版社,9.1
[法] 莫泊桑,Feb-05,项链,28.00元,河北教育出版社,8.3
海子,Apr-99,海子的诗,15.4,人民文学出版社,8.9
[美]马里奥·普佐,Aug-97,教父,23.30元,译林出版社,9
[以色列] 尤瓦尔·赫拉利,Jan-17,未来简史,68,中信出版社,8.4
[美] 尼尔·波兹曼,Jun-11,娱乐至死,29.80元,广西师范大学出版社,8.5
[德] 埃·奥·卜劳恩 绘,Apr-03,父与子全集,20.00元,中国工人出版社,9.1
王朔,Feb-04,动物凶猛,15.5,中国电影出版社,8.3
严歌苓,Apr-17,芳华,39.00元,人民文学出版社,8.1
梁文道,Oct-10,我执,35.00元,广西师范大学出版社,8
[澳] 马克斯·苏萨克,Aug-07,偷书贼,25.00元,南海出版公司,8
萧红,Jan-05,呼兰河传,19,百花文艺出版社,8.9
吴晓波,Jan-07,激荡三十年（上）,35,中信出版社 浙江人民出版社,8.8
木心 口述,2013/1/10,文学回忆录（全2册）,98.00元,广西师范大学出版社,9.2
高木直子,2004/12/1,一個人住第5年,NT$220,大田,8.4
桐华,Jun-06,步步惊心,25.00元,民族出版社,8.1
[英]毛姆,Mar-07,刀锋,18.00元,上海译文出版社,9
梁文道,Jan-09,常识,38,广西师范大学出版社,8.1
[美] 彼得·海斯勒,Jan-11,寻路中国,33.00元,上海译文出版社,9
王小波,Apr-06,一只特立独行的猪,18.80元,北方文艺出版社,8.8
三毛,Jul-07,雨季不再来,28.00元,北京十月文艺出版社,8.7
王小波,May-97,白银时代,10.00元,花城出版社,8.4
[英] 莎士比亚,Jan-01,哈姆莱特,7.00元,人民文学出版社,8.5
韩寒,2009/8/1,可爱的洪水猛兽,25.00元,万卷出版公司,8.1
湊佳苗,2009年8月31日,告白,NT$250,時報文化,8.6
海宴,Dec-07,琅琊榜,49.80元,朝华出版社,8.5
[美] 海莲·汉芙,2005/5/1,查令十字街84号,18.00元,译林出版社,8.3
[德] 帕·聚斯金德,May-05,香水,20.00元,上海译文出版社,8.5
[意大利]伊塔洛·卡尔维诺,Aug-06,看不见的城市,16.00元,译林出版社,8.8
[印] 罗宾德拉纳德·泰戈尔,Jun-04,飞鸟集,16.80元,哈尔滨出版社,8.8
[英] 乔治·奥威尔,Apr-03,一九八四·动物农场,23.00元,上海译文出版社,9.3
安东尼,Oct-10,橙,28.80元,长江文艺出版社,8.2
（美）罗伯特?T?清崎,Sep-00,富爸爸，穷爸爸,18.8,世界图书出版公司,8.2
[明] 施耐庵,Jan-97,水浒传（全二册）,50.60元,人民文学出版社,8.5
[美] 丹.布朗,Feb-05,天使与魔鬼,29.80元,人民文学出版社,8.1
严歌苓,Oct-11,陆犯焉识,35.00元,作家出版社,8.8
八月长安,2013/8/5,最好的我们,55,湖南文艺出版社,8.8
[英] 伊恩·麦克尤恩,Feb-10,最初的爱情 最后的仪式,22.00元,南京大学出版社,8
曹禺,May-99,雷雨,9.2,人民文学出版社,8.5
[美国] 玛格丽特·米切尔,Sep-00,飘,40.00元,译林出版社,9.3
吴念真,Sep-11,这些人，那些事,28.00元,译林出版社,8.8
[法]雨果,Jun-82,巴黎圣母院,22.50元,人民文学出版社,8.3
文：安东尼,Mar-10,这些都是你给我的爱,24.80元,长江文艺出版社,8.4
（法）莫泊桑,Jun-07,羊脂球,13.50元,北京燕山出版社,8.1
[英] 阿加莎?克里斯蒂,Mar-08,无人生还,19,人民文学出版社,8.9
亦舒,Feb-07,喜宝,22.00元,新世界出版社,8
[美] 约翰·威廉斯,Jan-16,斯通纳,39.00元,世纪文景/上海人民出版社,8.8
刘瑜,Jan-13,观念的水位,36.00元,浙江大学出版社,8.3
